                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 3.3227,                  5.174,                 3.9063,                0.22916,                0.00739,                0.00225,                0.00062,                 3.2259,                 4.7676,                 3.8648,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                 3.3668,                 5.1265,                 3.8577,                0.30069,                0.00195,                0.00248,                0.00071,                  3.221,                 4.7586,                 3.8655,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                 3.3709,                 5.1487,                 3.8644,                0.32609,                0.00477,                0.00518,                 0.0011,                 3.2178,                 4.7403,                 3.8625,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 3.2948,                 5.0832,                 3.8612,                0.36142,                0.00541,                0.00552,                0.00114,                 3.2126,                 4.7125,                 3.8588,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 3.4039,                 5.1488,                 3.8677,                 0.3462,                0.00881,                0.00603,                0.00129,                 3.2067,                 4.6897,                 3.8544,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                 3.3548,                 5.1862,                 3.8503,                0.34672,                0.01105,                0.00609,                0.00133,                 3.2046,                 4.6838,                 3.8495,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                  3.367,                 5.1194,                 3.8619,                0.35089,                0.01228,                 0.0065,                0.00142,                 3.2103,                 4.6752,                  3.844,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                 3.3247,                 5.1631,                 3.8536,                0.33971,                0.00888,                0.00635,                 0.0016,                 3.2081,                 4.6635,                 3.8374,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                 3.4037,                 5.1146,                  3.846,                0.29877,                0.00554,                0.00598,                0.00144,                  3.211,                 4.6741,                 3.8287,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                 3.3578,                 5.1013,                 3.8491,                0.00374,                0.03925,                0.00533,                0.00152,                 3.2137,                 4.6741,                 3.8275,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                 3.2757,                 5.1241,                 3.8621,                0.00308,                0.03993,                0.00492,                0.00152,                 3.2169,                 4.6696,                  3.829,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                 3.2859,                 5.1344,                 3.8497,                0.00406,                0.03988,                0.00568,                0.00173,                 3.2179,                 4.6556,                  3.829,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                 3.3472,                 5.1395,                 3.8575,                0.00404,                0.04205,                0.00611,                 0.0017,                  3.218,                 4.6558,                 3.8284,             2.8286e-05,             2.8286e-05,             2.8286e-05
